M/W,Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2023,5,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Brazil,Czechia,3,2,22,25,25,21,16,25,16,20,25,14,SET 3,15,11,1,3,,11,3,7,21,1,6,7,14,3,4,17,24,3,2,10,15,8,3,12,6,0,15,21
Men,2023,5,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Brazil,Czechia,3,2,22,25,25,21,16,25,16,20,25,14,SET 4,16,12,2,2,,12,5,5,22,2,6,4,12,2,6,14,22,6,2,12,20,3,5,10,9,0,13,22
Men,2023,5,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Brazil,Czechia,3,2,22,25,25,21,16,25,16,20,25,14,SET 5,13,9,4,0,,9,3,4,16,4,6,2,12,0,2,14,16,2,0,9,11,3,3,9,6,0,10,16
Men,2023,5,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Brazil,2,3,25,16,20,25,14,22,25,25,21,16,ALL SETS,69,57,7,5,,57,20,39,116,7,15,22,44,5,23,72,100,20,6,66,92,20,23,49,29,3,84,116
Men,2023,5,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Brazil,2,3,25,16,20,25,14,22,25,25,21,16,SET 1,20,16,4,0,,16,2,11,29,4,2,5,11,0,7,18,25,11,1,9,21,4,4,9,13,2,15,30
Men,2023,5,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Brazil,2,3,25,16,20,25,14,22,25,25,21,16,SET 2,11,9,1,1,,9,6,9,24,1,4,6,11,1,3,12,16,3,0,18,21,4,9,14,5,1,20,26
Men,2023,5,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Brazil,2,3,25,16,20,25,14,22,25,25,21,16,SET 3,13,11,0,2,,11,5,10,26,0,3,3,6,2,6,13,21,2,3,15,20,5,3,10,4,0,21,25
Men,2023,5,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Brazil,2,3,25,16,20,25,14,22,25,25,21,16,SET 4,15,12,1,2,,12,3,5,20,1,3,4,8,2,4,18,24,1,2,13,16,4,4,9,2,0,17,19
Men,2023,5,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Brazil,2,3,25,16,20,25,14,22,25,25,21,16,SET 5,10,9,1,0,,9,4,4,17,1,3,4,8,0,3,11,14,3,0,11,14,3,3,7,5,0,11,16
Men,2023,6,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Germany,1,3,25,14,22,15,-,21,25,25,25,-,ALL SETS,51,37,8,6,,37,17,38,92,8,16,19,43,6,20,52,78,16,5,53,74,28,14,49,10,1,79,90
